20090101, -6
20090102, -8
20090103, -27
20090104, 23
20090105, -12
20090106, -59
20090107, -8
20090108, -45
20090109, -69
20090110, -68
20090111, -11
20090112, 39
20090113, 46
20090114, 41
20090115, 26
20090116, 17
20090117, 50
20090118, 55
20090119, 48
20090120, 40
20090121, 34
20090122, 40
20090123, 51
20090124, 40
20090125, 22
20090126, 13
20090127, -5
20090128, -10
20090129, -12
20090130, 1
20090131, 1
20090201, -13
20090202, 14
20090203, 22
20090204, 4
20090205, 33
20090206, 41
20090207, 29
20090208, 13
20090209, 26
20090210, 38
20090211, 24
20090212, 16
20090213, 17
20090214, -6
20090215, 15
20090216, 61
20090217, 40
20090218, -4
20090219, 18
20090220, 52
20090221, 55
20090222, 66
20090223, 61
20090224, 41
20090225, 49
20090226, 68
20090227, 74
20090228, 72
20090301, 65
20090302, 54
20090303, 58
20090304, 60
20090305, 45
20090306, 50
20090307, 44
20090308, 74
20090309, 58
20090310, 56
20090311, 67
20090312, 80
20090313, 77
20090314, 89
20090315, 82
20090316, 80
20090317, 72
20090318, 45
20090319, 70
20090320, 44
20090321, 49
20090322, 81
20090323, 70
20090324, 50
20090325, 59
20090326, 73
20090327, 68
20090328, 61
20090329, 57
20090330, 50
20090331, 73
20090401, 97
20090402, 119
20090403, 133
20090404, 96
20090405, 94
20090406, 124
20090407, 106
20090408, 89
20090409, 107
20090410, 173
20090411, 167
20090412, 140
20090413, 116
20090414, 130
20090415, 173
20090416, 145
20090417, 126
20090418, 119
20090419, 117
20090420, 131
20090421, 123
20090422, 101
20090423, 99
20090424, 124
20090425, 139
20090426, 133
20090427, 117
20090428, 92
20090429, 99
20090430, 124
20090501, 143
20090502, 127
20090503, 93
20090504, 101
20090505, 117
20090506, 131
20090507, 128
20090508, 120
20090509, 115
20090510, 136
20090511, 118
20090512, 131
20090513, 159
20090514, 164
20090515, 135
20090516, 126
20090517, 130
20090518, 139
20090519, 140
20090520, 143
20090521, 137
20090522, 133
20090523, 162
20090524, 162
20090525, 187
20090526, 143
20090527, 122
20090528, 152
20090529, 150
20090530, 165
20090531, 186
20090601, 191
20090602, 161
20090603, 126
20090604, 105
20090605, 101
20090606, 117
20090607, 112
20090608, 141
20090609, 148
20090610, 142
20090611, 131
20090612, 132
20090613, 149
20090614, 166
20090615, 154
20090616, 138
20090617, 173
20090618, 172
20090619, 153
20090620, 144
20090621, 135
20090622, 144
20090623, 163
20090624, 181
20090625, 204
20090626, 200
20090627, 199
20090628, 198
20090629, 205
20090630, 208
20090701, 211
20090702, 234
20090703, 222
20090704, 202
20090705, 206
20090706, 185
20090707, 158
20090708, 156
20090709, 151
20090710, 144
20090711, 166
20090712, 175
20090713, 182
20090714, 195
20090715, 197
20090716, 204
20090717, 192
20090718, 160
20090719, 167
20090720, 174
20090721, 191
20090722, 193
20090723, 171
20090724, 163
20090725, 165
20090726, 181
20090727, 179
20090728, 172
20090729, 194
20090730, 160
20090731, 155
20090801, 188
20090802, 165
20090803, 159
20090804, 185
20090805, 208
20090806, 221
20090807, 216
20090808, 186
20090809, 172
20090810, 183
20090811, 188
20090812, 179
20090813, 175
20090814, 168
20090815, 212
20090816, 192
20090817, 178
20090818, 189
20090819, 210
20090820, 235
20090821, 177
20090822, 157
20090823, 183
20090824, 210
20090825, 168
20090826, 174
20090827, 190
20090828, 163
20090829, 150
20090830, 152
20090831, 188
20090901, 175
20090902, 170
20090903, 153
20090904, 142
20090905, 154
20090906, 149
20090907, 166
20090908, 185
20090909, 168
20090910, 159
20090911, 145
20090912, 146
20090913, 146
20090914, 152
20090915, 150
20090916, 158
20090917, 129
20090918, 143
20090919, 171
20090920, 149
20090921, 137
20090922, 153
20090923, 165
20090924, 135
20090925, 111
20090926, 116
20090927, 120
20090928, 141
20090929, 153
20090930, 148
20091001, 131
20091002, 115
20091003, 136
20091004, 114
20091005, 111
20091006, 150
20091007, 159
20091008, 106
20091009, 94
20091010, 128
20091011, 121
20091012, 110
20091013, 87
20091014, 39
20091015, 62
20091016, 105
20091017, 80
20091018, 75
20091019, 85
20091020, 80
20091021, 108
20091022, 88
20091023, 92
20091024, 110
20091025, 130
20091026, 122
20091027, 122
20091028, 116
20091029, 129
20091030, 106
20091031, 104
20091101, 133
20091102, 96
20091103, 75
20091104, 81
20091105, 82
20091106, 87
20091107, 73
20091108, 45
20091109, 68
20091110, 75
20091111, 77
20091112, 80
20091113, 137
20091114, 130
20091115, 100
20091116, 105
20091117, 106
20091118, 113
20091119, 106
20091120, 121
20091121, 130
20091122, 115
20091123, 104
20091124, 119
20091125, 111
20091126, 81
20091127, 71
20091128, 76
20091129, 92
20091130, 53
20091201, 38
20091202, 43
20091203, 81
20091204, 50
20091205, 73
20091206, 102
20091207, 74
20091208, 64
20091209, 71
20091210, 95
20091211, 70
20091212, 37
20091213, 6
20091214, -29
20091215, -35
20091216, -23
20091217, -11
20091218, -31
20091219, -79
20091220, -22
20091221, -24
20091222, 7
20091223, -3
20091224, -3
20091225, 25
20091226, 37
20091227, 42
20091228, 26
20091229, 6
20091230, 3
20091231, 0
